id,order_id,product_id,product_name,unit_value,unit_type,mrp,sale_price,quantity,gst_slab,discount_amount,discount_percentage,total_amount
1,7,1,"Colgate strong Teeth Tooth Paste",100,gms,52.00,50.00,1,18.00,2.00,4,50.00
2,7,3,"Colgate Max Fresh blue Tooth Paste","2*150 gms",gms,170.00,158.00,1,18.00,12.00,7,158.00
3,7,5,"Colgate Herbal Tooth Paste",100,gms,58.00,56.00,1,18.00,2.00,3,56.00
4,7,8,"Colgate Salt Tooth Paste",20,gms,10.00,10.00,1,18.00,0.00,0,10.00
5,7,6,"Colgate Charcol clean Tooth Paste",120,gms,99.00,95.00,1,18.00,4.00,4,95.00
6,8,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,1,5.00,30.00,10,280.00
7,8,1731,"AASHIRWAAD SUPERIOR MP ATTA ",5,kg,270.00,230.00,1,5.00,40.00,15,230.00
8,8,1733,"ANNAPURNA  FARM FRESH ATTA",1,kg,55.00,50.00,1,5.00,5.00,9,50.00
9,8,1736,"ASWIKA CHAKKI ATTA ",500,gms,20.00,18.00,1,0.00,2.00,10,18.00
10,8,1738,"ASWIKA MAIDA FLOUR",500,gms,20.00,18.00,1,0.00,2.00,10,18.00
11,8,1740,"VENKATESHWARA CORN FLOOR",500,gms,40.00,28.00,1,0.00,12.00,30,28.00
12,8,1748,"Aswika Bombay Ravva",500,gms,23.00,20.00,1,0.00,3.00,13,20.00
13,9,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
14,9,1187,"Nestle EveryDay Dairy Whitner",200,gms,104.00,100.00,1,12.00,4.00,4,100.00
15,9,1,"Colgate strong Teeth Tooth Paste",300,gms,147.00,140.00,1,18.00,7.00,5,140.00
16,9,1140,"3 ROSES Natural Care",500,gms,340.00,322.00,1,5.00,18.00,5,322.00
17,9,1161,"Bru instant",50,gms,70.00,68.00,1,5.00,2.00,3,68.00
18,10,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
