id,total_items,total_amount,status,customer_id,created_date,updated_date,source_app
1,6,537.00,canceled,4,1618235171,1622361392,NULL
2,8,682.00,canceled,4,1618238916,1622361391,NULL
3,10,496.00,canceled,1,1618246785,1622361387,NULL
4,3,387.00,canceled,4,1618248964,1622361386,NULL
5,4,107.00,canceled,4,1618249829,1622361386,NULL
6,4,60.00,canceled,4,1618250412,1622361386,NULL
7,5,369.00,canceled,4,1618250644,1622361385,NULL
8,7,644.00,canceled,4,1618251361,1622361385,NULL
9,5,692.00,canceled,1,1618251765,1622361384,NULL
10,8,781.00,canceled,4,1618330068,1622361384,NULL
11,3,387.00,closed,4,1618333318,1621667201,NULL
14,3,328.00,closed,4,1618338115,1618911205,NULL
15,4,497.00,closed,10,1618910571,1618910681,NULL
16,4,1164.00,closed,11,1619072345,1619072505,NULL
17,8,476.00,canceled,11,1619073246,1622361384,NULL
18,10,1045.00,canceled,4,1619316250,1622361383,NULL
19,12,2275.00,canceled,4,1619338761,1622361383,NULL
20,13,3040.00,canceled,4,1619351112,1622361382,NULL
21,1,720.00,canceled,22,1619613424,1622361382,NULL
22,3,287.00,canceled,4,1619679882,1622361382,NULL
23,3,664.00,canceled,1,1619777517,1622361381,NULL
24,20,1538.00,closed,1,1619780440,1619780982,NULL
25,2,223.00,closed,1,1619780582,1619863201,NULL
26,5,328.00,closed,1,1619792958,1619793136,NULL
27,2,162.00,canceled,4,1619810853,1622361381,NULL
28,1,9.00,canceled,4,1619813839,1622361380,NULL
29,1,100.00,canceled,4,1619814465,1622361380,NULL
30,1,90.00,canceled,4,1619815095,1622361380,NULL
31,1,34.00,canceled,4,1619816226,1622361379,NULL
32,1,80.00,canceled,4,1619816444,1622361379,NULL
33,5,723.00,closed,11,1619863351,1621667201,NULL
34,14,2605.00,canceled,1,1619863703,1622361379,NULL
35,5,124.00,canceled,11,1619863721,1622361379,NULL
36,1,62.00,canceled,4,1620025585,1622361379,NULL
37,14,1342.00,closed,11,1621234114,1621234541,NULL
38,15,2333.00,canceled,1,1621269756,1622361378,NULL
39,4,248.00,canceled,39,1621303502,1622361377,NULL
40,5,294.00,canceled,1,1621524252,1622361376,NULL
41,8,1078.00,closed,4,1621537301,1631249156,NULL
42,8,1078.00,closed,4,1621538763,1621667200,NULL
43,5,1115.00,closed,1,1621667008,1621667194,NULL
44,11,420.00,closed,1,1621667460,1621667552,NULL
45,5,620.00,closed,11,1621668130,1631249156,NULL
46,3,300.00,canceled,39,1621706470,1622361375,NULL
47,3,300.00,canceled,39,1621706539,1622361390,NULL
48,5,680.00,closed,11,1621839218,1621839264,NULL
49,9,1242.00,closed,11,1621839791,1621839830,NULL
50,4,806.00,closed,11,1622016243,1631249155,NULL
51,1,51.00,canceled,49,1622390408,1622719334,NULL
52,4,222.00,canceled,39,1622601356,1622719334,NULL
53,4,222.00,canceled,39,1622601707,1622719333,NULL
54,2,280.00,canceled,39,1622602236,1622719333,NULL
55,2,280.00,canceled,39,1622602310,1622719332,NULL
56,2,280.00,canceled,39,1622602481,1622719330,NULL
57,14,1929.00,closed,11,1622890754,1622890835,NULL
58,6,801.00,canceled,11,1622960960,1624357610,NULL
59,3,162.00,canceled,11,1622961924,1624357610,NULL
60,1,62.00,closed,1,1622998597,1631249153,NULL
61,1,170.00,canceled,39,1623015644,1624357609,NULL
62,1,62.00,canceled,39,1623028007,1624357609,NULL
63,1,62.00,canceled,39,1623028955,1624357608,NULL
64,1,22.00,canceled,39,1623029637,1624357608,NULL
65,1,20.00,canceled,39,1623030555,1624357608,NULL
66,6,557.00,canceled,1,1623032119,1624357607,NULL
67,29,866.00,canceled,11,1623161911,1624357607,NULL
68,10,437.00,canceled,58,1623163729,1624357607,NULL
69,21,3549.00,canceled,39,1623190705,1624357606,NULL
70,1,62.00,canceled,1,1623235269,1624357606,NULL
71,1,38.00,canceled,1,1623236082,1624357605,NULL
72,1,62.00,canceled,39,1623281729,1624357605,NULL
73,13,1820.00,canceled,39,1623292244,1624357605,NULL
74,2,180.00,canceled,39,1623292565,1624357604,NULL
75,7,434.00,canceled,39,1623292901,1624357604,NULL
76,2,60.00,canceled,39,1623293285,1624357604,NULL
77,1,42.00,canceled,1,1623297945,1624357603,NULL
78,1,42.00,canceled,1,1623297963,1624357603,NULL
79,1,280.00,canceled,1,1623298242,1624357602,NULL
80,2,20.00,canceled,39,1623298822,1624357602,NULL
81,4,198.00,canceled,1,1623299133,1624357602,NULL
82,2,124.00,canceled,39,1623357005,1624357601,NULL
83,2,150.00,canceled,39,1623367335,1624357601,NULL
84,3,231.00,canceled,39,1623375527,1624357601,NULL
85,12,1123.00,canceled,58,1623539699,1624357600,NULL
86,17,1272.00,canceled,58,1623541861,1624357600,NULL
87,2,120.00,canceled,39,1623554138,1624357600,NULL
88,2,206.00,canceled,39,1623555558,1624357599,NULL
89,6,857.00,canceled,1,1623556175,1624357599,NULL
90,5,263.00,canceled,58,1623565042,1624357598,NULL
91,10,581.00,canceled,58,1623565335,1624357598,NULL
92,7,452.00,canceled,58,1623565551,1624357598,NULL
93,4,248.00,canceled,58,1623566226,1624357597,NULL
94,2,124.00,canceled,58,1623566538,1624357597,NULL
95,1,38.00,canceled,73,1623632904,1624357597,NULL
96,1,62.00,canceled,63,1623722251,1624357596,NULL
97,2,57.00,canceled,63,1623722403,1624357596,NULL
98,2,28.00,canceled,63,1623722433,1624357596,NULL
99,9,2433.00,canceled,63,1623742247,1624357595,NULL
100,88,11492.00,canceled,39,1623757800,1624357595,NULL
101,12,624.00,canceled,58,1623809552,1624357595,NULL
102,17,1860.00,canceled,58,1623809782,1624357594,NULL
103,18,1327.00,canceled,58,1623809932,1624357594,NULL
104,12,554.00,canceled,11,1623835658,1624357594,NULL
105,0,0.00,canceled,11,1623835668,1624357592,NULL
106,4,114.00,closed,77,1623865053,1631249153,NULL
107,3,884.00,canceled,1,1623931257,1624357592,NULL
108,1,75.00,canceled,63,1623987900,1624357590,NULL
109,1,62.00,canceled,63,1624100092,1624357586,NULL
110,3,186.00,closed,11,1624357527,1631249152,NULL
111,1,24.00,closed,11,1624364842,1624365174,NULL
112,2,98.00,closed,11,1624365389,1624365565,NULL
113,1,40.00,closed,11,1624365452,1631249152,NULL
114,4,700.00,closed,11,1624370322,1631249151,NULL
115,3,445.00,canceled,39,1624380689,1624443694,NULL
116,1,60.00,canceled,39,1624422491,1624443696,NULL
117,1,60.00,canceled,81,1624441432,1624443699,NULL
118,1,160.00,canceled,48,1624443159,1624502732,NULL
119,5,237.00,canceled,120,1624575395,1624587388,NULL
120,9,442.00,canceled,58,1625413247,1631249118,NULL
121,3,154.00,canceled,39,1625454815,1631249117,NULL
122,2,290.00,canceled,1,1626511170,1631249116,NULL
123,1,1100.00,closed,137,1626615054,1626616691,NULL
124,4,124.00,canceled,137,1626666911,1631249115,NULL
125,2,340.00,canceled,1,1626688582,1631249113,NULL
126,2,340.00,canceled,81,1626699787,1631249110,W
127,3,359.00,canceled,81,1626708311,1631249106,M
128,1,5.00,canceled,137,1626744922,1631249105,M
129,1,1100.00,canceled,137,1626777379,1631249104,M
130,25,1427.00,closed,141,1626892622,1626939671,M
131,4,272.00,canceled,39,1627182820,1629013426,M
132,5,716.00,closed,150,1627805975,1631249151,M
133,1,1150.00,canceled,48,1628079779,1629013423,M
134,6,372.00,canceled,4,1628169291,1629013421,NULL
135,6,372.00,canceled,4,1628170504,1629013420,NULL
136,6,372.00,canceled,4,1628170816,1629013418,NULL
137,14,590.00,closed,152,1629011842,1631249151,M
138,25,545.00,closed,152,1629378308,1631249150,M
139,25,1919.00,closed,148,1630746985,1631249150,M
140,2,1196.00,canceled,186,1631120979,1631249102,M
141,2,340.00,closed,186,1631121292,1631249149,M
142,5,880.00,closed,194,1631248421,1631249148,M
143,1,60.00,canceled,195,1631262922,1632561481,W
144,5,195.00,canceled,206,1631438700,1632561480,W
145,9,611.00,canceled,4,1631623639,1632561479,W
146,15,692.00,closed,158,1631629609,1638422477,M
147,14,533.00,closed,158,1632026736,1638422477,M
148,9,501.00,closed,152,1632041563,1638422476,M
149,5,1500.00,canceled,261,1632481307,1632561476,W
150,6,130.00,canceled,269,1632728052,1635410670,M
151,5,526.00,canceled,1,1632757999,1635410665,W
152,14,637.00,closed,158,1634047776,1638422476,M
153,10,7700.00,canceled,301,1635409679,1635410665,M
154,31,2377.00,closed,304,1635688901,1638422476,M
155,34,1272.00,closed,152,1636256107,1638422476,M
156,41,3435.00,closed,310,1636263022,1638422473,M
157,9,540.00,submitted,1,1636280010,1636280010,M
158,10,546.00,submitted,141,1636626149,1636626149,M
159,1,770.00,canceled,314,1636648881,1640846640,M
160,28,2287.00,closed,1,1638421082,1638422471,M
161,33,2581.00,processing,304,1638702147,1638802070,M
162,5,1467.00,processing,310,1640247080,1640251391,M
163,16,6384.00,canceled,352,1640799781,1640846573,W
164,25,2520.00,submitted,304,1641113654,1641113654,M
165,23,1162.00,submitted,361,1641130141,1641130141,M
166,5,2759.00,submitted,368,1641474029,1641474029,M
167,2,350.00,submitted,1,1641561988,1641561988,W
168,2,350.00,submitted,1,1641561989,1641561989,W
169,2,580.00,submitted,1,1641562682,1641562682,M
170,4,241.00,submitted,1,1641562767,1641562767,W
171,1,1200.00,submitted,372,1641649484,1641649484,M
172,36,2057.00,submitted,373,1641739168,1641739168,M
173,8,648.00,submitted,361,1642405079,1642405079,M
174,27,1330.00,processing,378,1643279211,1643279665,M
175,39,3776.00,submitted,304,1643629726,1643629726,M
176,1,1180.00,submitted,383,1644757057,1644757057,M
177,1,2140.00,submitted,383,1646190763,1646190763,M
178,5,699.00,submitted,386,1646823675,1646823675,W
