id,brand_name,feature_img,brand_description,status,created_date,updated_date
1,Aashirvaad,Aashirvaad.png,"Aashirvaad Description",1,1608197844,1608197844
2,Britannia,Britannia.png,"Britannia Descrtiption",1,1608197844,1608197844
3,Colgate,colgate.png,"Colgate Description",1,1608197844,1608197844
4,Comfort,Comfort.png,"Comfort Descripton",1,1608197844,1608197844
5,Dettol,Dettol.png,"Detto Description",1,1608197844,1608197844
6,Freedom,"Freedom oil.png","Freedom Oil Description",1,1608197844,1608197844
7,Lizol,Lizol.png,"Lizol Description",1,1608197844,1608197844
8,Parachute,Parachute.png,"Parachute Description",1,1608197844,1608197844
9,Vim,Vim.png,"Vime Description",1,1608197844,1608197844
10,Aswika,Aswika.png,"Aswika Description",1,1608197844,1608197844
11,Banjara's,Banjara.png,"Banjara Description",1,1608197844,1608197844
12,Nivea,Nivea.png,"Nivea Description",1,1608197844,1608197844
