id,unit_value,unit_type,status,created_date,updated_date
1,5,ml,1,1607007117,1607007117
2,8,ml,1,1607007117,1607007117
3,9,ml,1,1607007117,1607007117
4,11,ml,1,1607007117,1607007117
5,12,ml,1,1607007117,1607007117
6,15,ml,1,1607007117,1607007117
7,19,ml,1,1607007117,1607007117
8,20,ml,1,1607007117,1607007117
9,22,ml,1,1607007117,1607007117
10,25,ml,1,1607007117,1607007117
11,30,ml,1,1607007117,1607007117
12,40,ml,1,1607007117,1607007117
13,45,ml,1,1607007117,1607007117
14,49,ml,1,1607007117,1607007117
15,50,ml,1,1607007117,1607007117
16,60,ml,1,1607007117,1607007117
17,70,ml,1,1607007117,1607007117
18,71.5,ml,1,1607007117,1607007117
19,72,ml,1,1607007117,1607007117
20,75,ml,1,1607007117,1607007117
21,80,ml,1,1607007117,1607007117
22,82,ml,1,1607007117,1607007117
23,82.5,ml,1,1607007117,1607007117
24,85,ml,1,1607007117,1607007117
25,90,ml,1,1607007117,1607007117
26,95,ml,1,1607007117,1607007117
27,100,ml,1,1607007117,1607007117
28,108,ml,1,1607007117,1607007117
29,110,ml,1,1607007117,1607007117
30,115,ml,1,1607007117,1607007117
31,120,ml,1,1607007117,1607007117
32,122,ml,1,1607007117,1607007117
33,125,ml,1,1607007117,1607007117
34,130,ml,1,1607007117,1607007117
35,135,ml,1,1607007117,1607007117
36,150,ml,1,1607007117,1607007117
37,155,ml,1,1607007117,1607007117
38,160,ml,1,1607007117,1607007117
39,165,ml,1,1607007117,1607007117
40,170,ml,1,1607007117,1607007117
41,175,ml,1,1607007117,1607007117
42,180,ml,1,1607007117,1607007117
43,185,ml,1,1607007117,1607007117
44,190,ml,1,1607007117,1607007117
45,192.5,ml,1,1607007117,1607007117
46,195,ml,1,1607007117,1607007117
47,200,ml,1,1607007117,1607007117
48,220,ml,1,1607007117,1607007117
49,225,ml,1,1607007117,1607007117
50,240,ml,1,1607007117,1607007117
51,250,ml,1,1607007117,1607007117
52,270,ml,1,1607007117,1607007117
53,275,ml,1,1607007117,1607007117
54,300,ml,1,1607007117,1607007117
55,340,ml,1,1607007117,1607007117
56,350,ml,1,1607007117,1607007117
57,400,ml,1,1607007117,1607007117
58,425,ml,1,1607007117,1607007117
59,430,ml,1,1607007117,1607007117
